image_path,label,class_index,class_name,original_split
/root/clip_diffusion_fewshot_ccds/data/raw/flowers-102/jpg/image_06771.jpg,0,0,pink primrose,train
/root/clip_diffusion_fewshot_ccds/data/raw/flowers-102/jpg/image_06762.jpg,0,0,pink primrose,train
/root/clip_diffusion_fewshot_ccds/data/raw/flowers-102/jpg/image_06765.jpg,0,0,pink primrose,train
/root/clip_diffusion_fewshot_ccds/data/raw/flowers-102/jpg/image_06768.jpg,0,0,pink primrose,train
/root/clip_diffusion_fewshot_ccds/data/raw/flowers-102/jpg/image_06744.jpg,0,0,pink primrose,train
/root/clip_diffusion_fewshot_ccds/data/raw/flowers-102/jpg/image_05108.jpg,1,1,hard-leaved pocket orchid,train
/root/clip_diffusion_fewshot_ccds/data/raw/flowers-102/jpg/image_05124.jpg,1,1,hard-leaved pocket orchid,train
/root/clip_diffusion_fewshot_ccds/data/raw/flowers-102/jpg/image_05091.jpg,1,1,hard-leaved pocket orchid,train
/root/clip_diffusion_fewshot_ccds/data/raw/flowers-102/jpg/image_05115.jpg,1,1,hard-leaved pocket orchid,train
/root/clip_diffusion_fewshot_ccds/data/raw/flowers-102/jpg/image_05142.jpg,1,1,hard-leaved pocket orchid,train
/root/clip_diffusion_fewshot_ccds/data/raw/flowers-102/jpg/image_06642.jpg,2,2,canterbury bells,train
/root/clip_diffusion_fewshot_ccds/data/raw/flowers-102/jpg/image_06651.jpg,2,2,canterbury bells,train
/root/clip_diffusion_fewshot_ccds/data/raw/flowers-102/jpg/image_06632.jpg,2,2,canterbury bells,train
/root/clip_diffusion_fewshot_ccds/data/raw/flowers-102/jpg/image_06618.jpg,2,2,canterbury bells,train
/root/clip_diffusion_fewshot_ccds/data/raw/flowers-102/jpg/image_06623.jpg,2,2,canterbury bells,train
/root/clip_diffusion_fewshot_ccds/data/raw/flowers-102/jpg/image_05640.jpg,3,3,sweet pea,train
/root/clip_diffusion_fewshot_ccds/data/raw/flowers-102/jpg/image_05636.jpg,3,3,sweet pea,train
/root/clip_diffusion_fewshot_ccds/data/raw/flowers-102/jpg/image_05634.jpg,3,3,sweet pea,train
/root/clip_diffusion_fewshot_ccds/data/raw/flowers-102/jpg/image_05659.jpg,3,3,sweet pea,train
/root/clip_diffusion_fewshot_ccds/data/raw/flowers-102/jpg/image_05662.jpg,3,3,sweet pea,train
/root/clip_diffusion_fewshot_ccds/data/raw/flowers-102/jpg/image_05191.jpg,4,4,english marigold,train
/root/clip_diffusion_fewshot_ccds/data/raw/flowers-102/jpg/image_05167.jpg,4,4,english marigold,train
/root/clip_diffusion_fewshot_ccds/data/raw/flowers-102/jpg/image_05199.jpg,4,4,english marigold,train
/root/clip_diffusion_fewshot_ccds/data/raw/flowers-102/jpg/image_05161.jpg,4,4,english marigold,train
/root/clip_diffusion_fewshot_ccds/data/raw/flowers-102/jpg/image_05194.jpg,4,4,english marigold,train
/root/clip_diffusion_fewshot_ccds/data/raw/flowers-102/jpg/image_07191.jpg,5,5,tiger lily,train
/root/clip_diffusion_fewshot_ccds/data/raw/flowers-102/jpg/image_07192.jpg,5,5,tiger lily,train
